name,price,image,rating
"Tecno Spark 10 Pro, 6.8"", 128GB + 8GB RAM (Dual SIM), 5000mAh, Lunar Eclipse","22,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/13/7388451/1.jpg?1254,4.7
"Infinix Smart 7 HD, 6.6"", 2GB RAM, 64GB, 5000mAh, 4G(DUAL SIM) - Ink Black","11,520",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/90/2338621/1.jpg?8497,4.4
"Samsung Galaxy A14 4G, 6.6"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Silver","20,799",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/99/5911421/1.jpg?1258,4.5
"Freeyond F9,2GB+64GB,6.52"", 13.0MP,4G Smartphone 5000mAh Dual SIM Android Phone,Blue","11,390",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/98/786019/1.jpg?4816,4
"XIAOMI Redmi 12C, 6.71'' ,3GB+64GB, 50MP, 5000mAh, 4G, Dual Sim - Graphite Grey","15,499",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/87/0072321/1.jpg?2023,4.3
"Infinix Smart 7 HD, 6.6"", 2GB RAM, 64GB, 5000mAh, 4G(DUAL SIM) - Jade White","11,520",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/44/4421021/1.jpg?2090,4.3
"XIAOMI Redmi A2 Plus, 6.52"" Display  2 GB + 32 GB 5000mAh (Dual SIM) -  Black","12,299",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/65/6626431/1.jpg?6492,4
"Freeyond F9,2GB+64GB,6.52"" 4G Smartphone,13.0MP 5000mAh, Dual SIM Android Phones,Black","11,390",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/59/786019/1.jpg?4815,4.1
"Tecno Spark 10C , 6.6"" FHD,128GB ROM+4GB RAM ,5000mAh,Meta Skin Blue","16,320",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/96/6676921/1.jpg?1626,4.3
"Tecno Pop  7, 6.6"" HD+, 2GB + 64GB, 8MP, 4G (Dual SIM) 5000MAh - Endless Black","12,099",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/18/1071321/1.jpg?4492,4.4
Oppo A83 4GB RAM+64GB Refurbished -4G LTE Dual SIM-5.7-inch- Face Unlock -Blue,"8,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/07/7295321/1.jpg?4096,3.6
"Infinix Hot 40i, 6.56"",4GB RAM,128GB, Android 13,5000mAh,, 4G -Starlit Black","16,099",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/94/5704321/1.jpg?4684,4.2
"Nokia C1 2nd Edition, 5.45"", 1GB +16GB - (DUAL SIM),Android 11, Blue","7,950",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/90/842585/1.jpg?8101,4
"Nokia C1 2nd Edition, 5.45"" - 16GB + 1GB (Dual Sim) 2500 MAh + SMART WATCH & AIRPODS","8,799",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/84/931235/1.jpg?7015,4.1
"XIAOMI Redmi Note 12, 6.67'' , 6GB+128GB, 50MP, Dual Sim, 33W Fast Charge-Onyx Gray","27,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/29/4934621/1.jpg?2006,4.4
Wireless Bluetooth In-Ear Earphone Stereo Headset,570,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/08/576237/1.jpg?7347,3.7
Smartwatch Business Bluetooth Waterproof Sport,780,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/61/6345511/1.jpg?7193,3.2
3Pcs/Set High Clarity Clear LCD Screen Protector Films For-,43,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/68/571007/1.jpg?2464,3
Bluetooth Wireless Earphones Headset Call Earbuds,549,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/26/239354/1.jpg?9250,3.4
Smart Bluetooth Watches For Ios And Android Bands,695,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/66/8345511/1.jpg?1570,2.6
Sokany 6A 120W USB To TYPE-C Charge Fast Cable 150CM,220,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/26/845224/1.jpg?5824,3.5
2Pcs 3.5/4.5/5/5.5/6cm Headphone Ear Sponge Pads ReplACE_ment Headset Accessory,34,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/32/594093/1.jpg?5886,5
